"year","lifetime_mean"
"1820",65.8460192476
"1821",65.2589453861
"1822",68.0236013986
"1823",68.1949910555
"1824",66.2820053715
"1825",66.4076655052
"1826",67.6949910555
"1827",68.025664528
"1828",66.7164948454
"1829",68.0367054611
"1830",68.2349914237
"1831",67.7251308901
"1832",68.6345991561
"1833",68.5808695652
"1834",68.1282051282
"1835",68.2927818329
"1836",68.3074380165
"1837",68.4891222806
"1838",68.1387987013
"1839",68.9643962848
"1840",67.70609319
"1841",67.3415915916
"1842",68.3434268833
"1843",68.4913468774
"1844",69.1742323097
"1845",68.9792498005
"1846",68.5920360631
"1847",68.7938299473
"1848",69.2575322812
"1849",69.4153166421
"1850",68.8158914729
"1851",69.0242214533
"1852",69.5422343324
"1853",69.5894813733
"1854",70.4509545754
"1855",69.4727030626
"1856",69.8273955774
"1857",69.9140577041
"1858",69.5292134831
"1859",70.8545454545
"1860",69.9045333333
"1861",70.4155047407
"1862",70.4331175836
"1863",70.0780513358
"1864",70.0812834225
"1865",68.9575249082
"1866",70.387807377
"1867",70.1295746785
"1868",69.1596385542
"1869",71.0779097387
"1870",70.3279816514
"1871",70.8272772524
"1872",70.6219621962
"1873",70.0286097452
"1874",70.7448979592
"1875",71.0093708166
"1876",69.4226890756
"1877",70.9347732181
"1878",70.5948030857
"1879",70.0953315026
"1880",70.3445243805
"1881",70.5856098499
"1882",70.7743132888
"1883",70.5288211231
"1884",70.928967429
"1885",70.598189415
"1886",70.7815181518
"1887",70.6606319947
"1888",70.1229813665
"1889",70.6771995043
"1890",69.3759848724
"1891",70.9591323483
"1892",70.9096226967
"1893",71.2323109626
"1894",71.0549515134
"1895",71.5384165936
"1896",71.8747320061
"1897",71.992325856
"1898",72.6801916033
"1899",72.8049853372
"1900",73.5262871152
"1901",74.0953908985
"1902",73.9736842105
"1903",73.3175033921
"1904",74.106131427
"1905",74.8544221237
"1906",75.2402862986
"1907",75.2287006786
"1908",75.687575392
"1909",74.7538610039
"1910",75.5798199905
"1911",74.8135389063
"1912",76.0375512062
"1913",75.9225936729
"1914",75.7923555937
"1915",76.3122182681
"1916",76.35459485
"1917",76.1231253024
"1918",75.5814967304
"1919",75.231292517
"1920",74.8656906429
